id,name,formula,inchi,added by,comment
EMBL_dev1_247,DHB; 2*M+2*(M-H2O)-2*H+2*K+0*Na,C28H18K2O14,,Theodore,DHB matrix cluster
EMBL_dev1_248,DHB; 2*M+2*(M-H2O)-3*H+2*K+1*Na,C28H17NaK2O14,,Theodore,DHB matrix cluster
EMBL_dev1_249,DHB; 2*M+2*(M-H2O)-4*H+2*K+2*Na,C28H16Na2K2O14,,Theodore,DHB matrix cluster
EMBL_dev1_250,DHB; 2*M+2*(M-H2O)-5*H+2*K+3*Na,C28H15Na3K2O14,,Theodore,DHB matrix cluster
EMBL_dev1_251,DHB; 2*M+2*(M-H2O)-3*H+3*K+0*Na,C28H17K3O14,,Theodore,DHB matrix cluster
EMBL_dev1_252,DHB; 2*M+2*(M-H2O)-4*H+3*K+1*Na,C28H16NaK3O14,,Theodore,DHB matrix cluster
EMBL_dev1_253,DHB; 2*M+2*(M-H2O)-5*H+3*K+2*Na,C28H15Na2K3O14,,Theodore,DHB matrix cluster
EMBL_dev1_254,DHB; 2*M+3*(M-H2O)-0*H+0*K+0*Na,C35H24O17,,Theodore,DHB matrix cluster
EMBL_dev1_255,DHB; 2*M+3*(M-H2O)-1*H+0*K+1*Na,C35H23NaO17,,Theodore,DHB matrix cluster
EMBL_dev1_256,DHB; 2*M+3*(M-H2O)-2*H+0*K+2*Na,C35H22Na2O17,,Theodore,DHB matrix cluster
EMBL_dev1_257,DHB; 2*M+3*(M-H2O)-3*H+0*K+3*Na,C35H21Na3O17,,Theodore,DHB matrix cluster
EMBL_dev1_258,DHB; 2*M+3*(M-H2O)-1*H+1*K+0*Na,C35H23KO17,,Theodore,DHB matrix cluster
EMBL_dev1_259,DHB; 2*M+3*(M-H2O)-2*H+1*K+1*Na,C35H22NaKO17,,Theodore,DHB matrix cluster
